,org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY,defect_status,bag_of_words
10,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/tpi/manifests/nfs_client.pp,0,6,81,6,7,13,39,30,9,0,6,6,0,"{'class': 1, 'tpi': 7, 'nf': 2, 'client': 1, 'server': 1, 'local': 10, 'home': 15, 'base': 5, 'usr': 1, 'basenam': 3, 'ensur': 8, 'packag': 1, 'autof': 10, 'file': 11, 'directori': 2, 'mode': 6, 'owner': 6, 'root': 12, 'group': 6, 'localhom': 1, 'requir': 6, 'etc': 9, 'auto': 11, 'master': 7, 'present': 4, 'content': 4, 'templat': 4, 'erb': 4, 'notifi': 2, 'servic': 3, 'direct': 5, 'run': 1, 'enabl': 1, 'true': 1}"
11,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/images.pp,0,0,1,0,0,1,0,0,0,0,0,0,0,"{'includ': 1, 'extern': 1, 'ceph': 1, 'imag': 1}"
12,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-etckeeper/deployment_scripts/etckeeper_configure.pp,0,0,26,0,0,1,6,5,1,1,0,0,0,"{'notic': 1, 'modular': 1, 'fuel': 2, 'plugin': 2, 'etckeep': 17, 'configur': 1, 'pp': 1, 'augea': 2, 'len': 1, 'shellvar': 1, 'ln': 1, 'incl': 1, 'etc': 2, 'conf': 1, 'hash': 3, 'hiera': 1, 'scm': 8, 'pick': 1, 'vc': 3, 'git': 2, 'hg': 1, 'bzr': 1, 'fail': 1, 'unsupport': 1, 'dir': 2, 'chang': 1, 'set': 1, 'exec': 1, 'init': 2, 'path': 1, 'bin': 4, 'usr': 3, 'local': 1, 'command': 1, 'f': 1, 'unless': 1, 'test': 1}"
13,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-horizon/manifests/init.pp,2,1,70,4,3,8,13,14,21,1,1,1,1,"{'class': 3, 'horizon': 14, 'secret': 1, 'key': 1, 'cach': 3, 'server': 3, 'ip': 2, 'port': 2, 'swift': 1, 'fals': 4, 'quantum': 1, 'app': 1, 'link': 1, 'keyston': 4, 'host': 1, 'scheme': 1, 'http': 8, 'default': 1, 'role': 1, 'member': 1, 'django': 1, 'debug': 1, 'api': 1, 'result': 1, 'limit': 1, 'includ': 1, 'param': 10, 'memcach': 1, 'packag': 7, 'name': 3, 'ensur': 3, 'present': 2, 'requir': 4, 'exec': 2, 'enmod': 3, 'wsgi': 3, 'servic': 5, 'modwsgi': 3, 'file': 2, 'etc': 2, 'openstack': 2, 'dashboard': 2, 'local': 3, 'set': 3, 'py': 3, 'content': 1, 'templat': 1, 'erb': 1, 'mode': 1, 'command': 1, 'path': 1, 'usr': 2, 'bin': 2, 'sbin': 2, 'httpd': 1, 'run': 1, 'subscrib': 1}"
14,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/config.pp,0,1,12,1,1,2,8,5,0,0,1,1,1,"{'class': 3, 'ssh': 4, 'server': 3, 'config': 3, 'file': 1, 'param': 1, 'sshd': 2, 'ensur': 1, 'present': 1, 'owner': 1, 'root': 2, 'group': 1, 'mode': 1, 'replac': 1, 'fals': 1, 'sourc': 1, 'puppet': 1, 'modul': 2, 'name': 1, 'requir': 1, 'instal': 1, 'notifi': 1, 'servic': 1}"
15,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/agent.pp,0,0,12,0,0,0,4,3,1,0,0,0,0,"{'rabbit': 8, 'hash': 5, 'hiera': 3, 'amqp': 6, 'port': 4, 'host': 4, 'class': 1, 'celebr': 1, 'agent': 1, 'split': 1, 'user': 2, 'password': 2}"
16,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/hostkeys.pp,0,0,12,0,0,0,6,0,0,0,0,0,0,"{'class': 1, 'ssh': 1, 'hostkey': 1, 'sshkey': 2, 'fqdn': 4, 'dsa': 2, 'host': 2, 'alias': 2, 'hostnam': 2, 'ipaddress': 2, 'type': 2, 'key': 2, 'sshdsakey': 1, 'rsa': 2, 'sshrsakey': 1}"
17,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit.pp,0,0,70,1,0,1,30,4,10,0,0,0,1,"{'class': 6, 'fuel': 3, 'project': 7, 'gerrit': 39, 'auth': 3, 'type': 3, 'undef': 2, 'replica': 3, 'point': 3, 'replic': 9, 'mode': 3, 'hiera': 1, 'hash': 1, 'mysql': 13, 'databas': 6, 'name': 1, 'user': 4, 'password': 4, 'canonicalweburl': 1, 'servic': 3, 'url': 1, 'contactstor': 2, 'contain': 1, 'heaplimit': 1, 'floor': 1, 'memorys': 1, 'mb': 1, 'email': 2, 'privat': 2, 'key': 14, 'start': 2, 'timeout': 2, 'gitweb': 1, 'true': 1, 'host': 2, 'fqdn': 2, 'ssh': 16, 'dsa': 4, 'content': 22, 'pubkey': 8, 'rsa': 12, 'ssl': 12, 'cert': 4, 'file': 12, 'chain': 4, 'requir': 1, 'hideci': 1, 'master': 1, 'creat': 1, 'resourc': 1, 'slave': 2}"
18,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/defaults.pp,0,0,91,0,0,0,0,36,3,0,0,0,1,"{'class': 1, 'kafka': 15, 'default': 7, 'broker': 3, 'port': 4, 'fqdn': 1, 'id': 2, 'zookeep': 4, 'host': 1, 'localhost': 1, 'connect': 1, 'timeout': 3, 'ms': 5, 'session': 1, 'chroot': 1, 'undef': 13, 'log': 13, 'file': 1, 'var': 2, 'produc': 5, 'type': 1, 'async': 1, 'batch': 1, 'num': 5, 'messag': 3, 'consum': 4, 'group': 2, 'test': 1, 'java': 2, 'home': 1, 'opt': 3, 'classpath': 1, 'jmx': 1, 'dir': 1, 'spool': 1, 'heap': 1, 'nofil': 1, 'ulimit': 1, 'auto': 2, 'creat': 1, 'topic': 3, 'enabl': 2, 'fals': 1, 'leader': 1, 'rebal': 1, 'true': 1, 'replica': 6, 'lag': 2, 'time': 1, 'max': 4, 'socket': 5, 'receiv': 2, 'buffer': 3, 'byte': 7, 'fetcher': 1, 'fetch': 1, 'network': 1, 'thread': 1, 'send': 1, 'request': 1, 'flush': 2, 'interv': 3, 'retent': 2, 'hour': 1, 'week': 1, 'segment': 1, 'cleanup': 2, 'polici': 1, 'delet': 1, 'min': 1, 'metric': 1, 'properti': 9, 'jvm': 1, 'perform': 1, 'version': 1, 'instal': 1, 'whitelist': 1, 'blacklist': 1, 'stream': 1, 'queue': 1, 'size': 1, 'templat': 7, 'erb': 7, 'j': 2, 'server': 4, 'systemd': 2, 'overrid': 2, 'conf': 1, 'mirror': 2}"
19,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/openstack-haproxy-radosgw.pp,0,0,1,0,0,1,0,0,0,0,0,0,1,"{'includ': 1, 'ceph': 1, 'overrid': 1, 'openstack': 2, 'haproxi': 2, 'radosgw': 1}"
20,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_neutron/manifests/server/config.pp,0,0,427,0,42,42,209,130,12,0,0,0,1,"{'class': 1, 'pmlc': 44, 'neutron': 75, 'server': 1, 'config': 1, 'debug': 8, 'manag': 3, 'vip': 3, 'core': 5, 'plugin': 11, 'servic': 10, 'dhcp': 15, 'leas': 5, 'durat': 5, 'allow': 5, 'overlap': 5, 'ip': 5, 'router': 5, 'schedul': 5, 'driver': 10, 'agent': 17, 'per': 5, 'network': 12, 'api': 6, 'worker': 10, 'nova': 10, 'admin': 26, 'user': 19, 'pass': 7, 'rabbit': 15, 'password': 18, 'virtualhost': 4, 'notif': 5, 'root': 10, 'helper': 10, 'databas': 8, 'rpc': 5, 'use': 7, 'aci': 3, 'apic': 69, 'host': 6, 'usernam': 6, 'name': 15, 'map': 5, 'provis': 10, 'hostlink': 5, 'share': 5, 'context': 5, 'vpc': 4, 'pair': 5, 'vlc': 1, 'infra': 5, 'extern': 7, 'epg': 5, 'preexist': 5, 'system': 5, 'id': 5, 'certif': 5, 'privat': 5, 'key': 5, 'file': 5, 'integr': 5, 'topolog': 5, 'report': 5, 'interv': 10, 'poll': 5, 'enabl': 10, 'isol': 5, 'metadata': 10, 'namespac': 5, 'inherit': 1, 'conf': 22, 'etc': 4, 'apipast': 5, 'past': 1, 'ini': 45, 'dhcpconf': 5, 'cisco': 33, 'ml': 16, 'set': 84, 'ensur': 42, 'present': 41, 'path': 42, 'section': 42, 'filter': 2, 'authtoken': 4, 'valu': 41, 'log': 2, 'default': 20, 'userid': 1, 'virtual': 1, 'keyston': 2, 'connect': 2, 'mysql': 1, 'read': 1, 'timeout': 1, 'true': 1, 'absent': 1, 'ehnet': 2, 'ext': 2}"
21,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/server.pp,0,0,95,0,0,2,19,16,2,0,0,0,0,"{'rabbit': 8, 'hash': 11, 'hiera': 8, 'amqp': 6, 'port': 7, 'host': 14, 'node': 3, 'name': 6, 'mysql': 23, 'manag': 2, 'vip': 5, 'undef': 1, 'databas': 5, 'root': 13, 'user': 13, 'pick': 2, 'db': 30, 'creat': 5, 'true': 1, 'password': 13, 'celebr': 11, 'read': 3, 'timeout': 3, 'allow': 3, 'localhost': 1, 'valid': 1, 'string': 1, 'bind': 4, 'connect': 5, 'class': 16, 'galera': 3, 'client': 3, 'custom': 2, 'setup': 2, 'dbname': 1, 'osnailyfact': 2, 'access': 2, 'config': 2, 'includ': 2, 'server': 2, 'firewal': 1, 'api': 2, 'dport': 1, 'proto': 1, 'tcp': 1, 'action': 1, 'accept': 1, 'split': 1, 'engin': 1, 'dashboard': 1}"
22,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/engine.pp,0,0,60,1,2,5,6,3,22,0,0,0,0,"{'class': 1, 'celebr': 14, 'engin': 10, 'manag': 2, 'servic': 10, 'true': 3, 'enabl': 4, 'packag': 6, 'ensur': 7, 'present': 1, 'sync': 3, 'db': 3, 'includ': 2, 'param': 3, 'config': 1, 'exec': 1, 'dbmanag': 1, 'run': 1, 'els': 1, 'stop': 1, 'name': 4, 'requir': 1}"
23,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client/config.pp,1,2,14,1,1,2,6,2,0,0,1,1,1,"{'class': 2, 'ssh': 7, 'client': 2, 'config': 3, 'file': 2, 'param': 2, 'ensur': 1, 'present': 1, 'owner': 1, 'root': 2, 'group': 1, 'sourc': 1, 'puppet': 1, 'modul': 2, 'name': 1, 'requir': 1, 'instal': 1, 'known': 1, 'host': 1, 'mode': 1}"
24,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/glusterfs.pp,1,4,146,6,5,15,48,31,23,4,3,3,1,"{'class': 8, 'fuel': 6, 'project': 6, 'glusterf': 18, 'appli': 5, 'firewal': 10, 'rule': 5, 'fals': 2, 'creat': 3, 'pool': 9, 'allow': 4, 'sourc': 3, 'gf': 25, 'brick': 7, 'point': 5, 'mnt': 1, 'slave': 2, 'test': 2, 'local': 3, 'volum': 28, 'name': 15, 'data': 1, 'owner': 13, 'gid': 6, 'uid': 6, 'common': 1, 'extern': 1, 'host': 1, 'defin': 1, 'zabbix': 9, 'agent': 3, 'file': 5, 'ensur': 5, 'directori': 2, 'mode': 3, 'vol': 6, 'replica': 1, 'forc': 1, 'true': 2, 'requir': 6, 'exec': 5, 'set': 6, 'command': 4, 'gluster': 8, 'storag': 4, 'user': 4, 'root': 10, 'unless': 3, 'info': 3, 'fgrep': 3, 'param': 2, 'server': 2, 'insecur': 2, 'notifi': 3, 'restart': 2, 'echo': 1, 'stop': 1, 'start': 1, 'refreshonli': 1, 'etc': 2, 'glusterd': 2, 'present': 3, 'group': 3, 'content': 3, 'templat': 2, 'erb': 2, 'packag': 1, 'servic': 3, 'usr': 1, 'bin': 1, 'recurs': 1, 'remot': 1, 'puppet': 2, 'modul': 2, 'glubix': 2, 'sudoer': 2, 'item': 1, 'check': 1, 'userparam': 1, 'conf': 1, 'includ': 1, 'default': 2, 'pre': 2, 'resourc': 1, 'dport': 1, 'proto': 1, 'tcp': 1, 'action': 1, 'accept': 1}"
25,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nginx.pp,0,1,44,0,2,2,18,13,4,0,1,1,1,"{'class': 3, 'fuel': 2, 'project': 2, 'nginx': 8, 'defin': 1, 'resourc': 2, 'vhost': 2, 'stub': 2, 'statu': 2, 'ensur': 3, 'present': 2, 'listen': 3, 'ip': 1, 'port': 3, 'locat': 1, 'custom': 1, 'cfg': 1, 'true': 2, 'puppet': 6, 'appli': 1, 'logshar': 1, 'gzip': 1, 'type': 1, 'applic': 1, 'octet': 1, 'stream': 1, 'ssl': 11, 'cert': 3, 'var': 5, 'lib': 4, 'fqdn': 2, 'pem': 4, 'key': 2, 'privat': 1, 'client': 2, 'certif': 1, 'ca': 1, 'crl': 2, 'verifi': 1, 'www': 1, 'root': 1, 'log': 1, 'packag': 1, 'error': 1, 'page': 1, 'zabbix': 2, 'item': 2, 'content': 1, 'modul': 1, 'conf': 2, 'file': 1, 'config': 1, 'dir': 1, 'fastcgi': 1, 'param': 1, 'mode': 1}"
26,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/lpreports/manifests/webapp.pp,1,4,182,6,9,15,85,57,20,3,4,4,1,"{'class': 3, 'lpreport': 30, 'webapp': 1, 'config': 1, 'logdir': 9, 'var': 5, 'log': 23, 'managepi': 4, 'path': 4, 'usr': 2, 'lib': 3, 'python': 10, 'dist': 2, 'packag': 9, 'manag': 1, 'py': 1, 'nginx': 20, 'server': 6, 'name': 6, 'fqdn': 1, 'access': 6, 'error': 7, 'format': 5, 'undef': 3, 'report': 8, 'review': 1, 'filter': 1, 'ssl': 25, 'certif': 6, 'etc': 3, 'cert': 2, 'crt': 1, 'content': 7, 'key': 8, 'privat': 1, 'team': 1, 'defin': 1, 'lp': 7, 'ensur': 9, 'present': 8, 'user': 5, 'shell': 1, 'bin': 1, 'fals': 1, 'home': 1, 'managehom': 1, 'true': 9, 'system': 1, 'file': 10, 'directori': 1, 'owner': 4, 'group': 4, 'mode': 4, 'root': 6, 'conf': 2, 'templat': 1, 'erb': 1, 'requir': 6, 'uwsgi': 6, 'applic': 1, 'plugin': 1, 'modul': 1, 'wsgi': 1, 'callabl': 1, 'app': 1, 'master': 1, 'worker': 1, 'processorcount': 1, 'socket': 1, 'vacuum': 1, 'uid': 1, 'gid': 1, 'resourc': 3, 'vhost': 3, 'http': 2, 'listen': 2, 'port': 3, 'www': 3, 'locat': 4, 'cfg': 2, 'append': 2, 'return': 1, 'request': 1, 'uri': 1, 'cach': 1, 'share': 1, 'session': 1, 'timeout': 4, 'stapl': 2, 'verifi': 1, 'connect': 1, 'read': 1, 'send': 1, 'intercept': 1, 'static': 2, 'cron': 3, 'syncdb': 3, 'command': 3, 'minut': 3, 'collect': 3, 'assigne': 3, 'cleanup': 3, 'db': 3, 'hour': 1}"
27,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit/replication.pp,2,0,113,1,1,2,20,14,31,0,1,1,1,"{'defin': 1, 'fuel': 2, 'project': 3, 'gerrit': 10, 'replic': 7, 'host': 9, 'path': 5, 'user': 7, 'auth': 1, 'group': 2, 'undef': 9, 'config': 9, 'file': 5, 'var': 2, 'lib': 2, 'review': 1, 'site': 1, 'etc': 1, 'default': 1, 'forc': 1, 'updat': 1, 'mirror': 1, 'privat': 3, 'key': 6, 'public': 3, 'push': 1, 'remot': 3, 'name': 3, 'style': 1, 'permiss': 1, 'delay': 1, 'thread': 1, 'ensur': 5, 'resourc': 4, 'concat': 3, 'present': 1, 'owner': 1, 'mode': 1, 'order': 2, 'numer': 1, 'fragment': 2, 'header': 1, 'target': 2, 'content': 4, 'manag': 1, 'puppet': 1, 'n': 2, 'http': 1, 'libreoffic': 1, 'org': 1, 'plugin': 1, 'document': 1, 'html': 1, 'ssh': 3, 'known': 2, 'overwrit': 1, 'fals': 1, 'requir': 1, 'sshuserconfig': 1, 'remotehost': 1, 'unix': 1, 'dir': 1, 'hostnam': 1, 'usernam': 1, 'templat': 1, 'erb': 1}"
